branch_id,segment_length_cm,pressure_prox_mean,pressure_dist_mean,pressure_drop_mean,flow_mean,resistance_mean,resistance_per_cm_mean,warning,rank
16,0.6061315597326171,13548.47465429674,10526.735318158597,3021.739336138144,0.870774423538842,3470.174656551974,5725.1179233808125,,1
29,0.8170523563659684,7419.099705337526,5628.754418850371,1790.3452864871551,0.5466002508604502,3275.4198039038943,4008.824867077173,,2
13,1.0349430556799253,15030.06199961459,12460.12816586537,2569.9338337492213,0.8124304577455058,3163.2662331257084,3056.464039992559,,3
8,0.865396581887961,7528.817001956293,5668.30497404723,1860.5120279090647,0.7862664950236911,2366.2613626350762,2734.3086535803136,,4
19,0.5548337395516217,14974.475276515303,13291.146358564045,1683.328917951259,0.9776574601621126,1721.7982642633685,3103.268856098778,,5
12,0.9475584377080871,15886.47790206948,12859.410159851226,3027.067742218253,1.8431358066856363,1642.3465548431761,1733.2403886515033,,6
4,0.8829876708121297,6946.609368238992,5891.614666284655,1054.9947019543372,0.7312566188809568,1442.7147388680014,1633.9013403675972,,7
18,0.8785214274401864,16785.17307995647,15038.701711240834,1746.4713687156316,1.21449139843217,1438.0269559506255,1636.8718064631755,,8
14,1.6539704169028004,17138.32354239177,15563.356552398996,1574.966989992774,1.311993310172385,1200.4382779862165,725.7918676889873,,9
10,0.776871800035149,7894.990224191514,6479.7915909656895,1415.1986332258252,1.262929083676715,1120.5685667684634,1442.4111761010813,,10
24,1.837685605953959,14487.371202860715,13019.966633552143,1467.404569308569,1.3482732063257061,1088.3584739531523,592.2441088001968,,11
26,1.3597010703539518,16040.573116948379,14733.329332477548,1307.2437844708302,1.2290613662187588,1063.6114846670364,782.2392052616104,,12
30,0.5504703308146427,7311.485495684028,6171.333641808672,1140.1518538753546,1.0826591453770866,1053.1032400582951,1913.0971845472661,,13
22,0.694600354230355,14254.839003225521,13297.177158000257,957.6618452252617,1.0007097564284877,956.9826206582984,1377.7456559443788,,14
9,1.251166950877159,7416.736934273945,6301.667555661214,1115.0693786127326,1.206319365188733,924.3566925896743,738.7956434923676,,15
21,1.164454823867263,16721.730297696224,15819.396089691842,902.3342080043813,1.088433049013854,829.0213245747336,711.9394480427129,,16
7,1.1631857920049555,15413.732441267322,14768.629658590959,645.1027826763635,1.0658381998590982,605.2539520179,520.3415964827409,,17
3,0.29830203409674916,7825.528236424285,6737.241169464046,1088.287066960239,2.0682254196529484,526.1936424429283,1763.9626361792305,,18
2,0.9807243730554688,7151.68147391361,6572.612717593892,579.0687563197182,1.3957129438550655,414.89101241712797,423.04547925583387,,19
1,0.7422871845963245,10508.264742131803,6748.695532235699,3759.569209896105,11.023255621475698,341.05797225382736,459.46902941521716,,20
25,1.1199750523396068,15032.470242800173,14735.926524128976,296.5437186711978,1.060059679264394,279.7424753264628,249.77563093221232,,21
11,0.553131956768371,6489.034723074684,6236.607331870789,252.42739120389516,1.092167149454832,231.12523694738232,417.84828035919844,,22
17,0.4943162174588009,14258.740508689803,13994.201145528099,264.53936316170694,1.1596524215539605,228.1195280972364,461.48501716160905,,23
0,0.5601583697929033,20062.093011654913,16276.308063205463,3785.784948449449,22.146968335151644,170.93919543112614,305.16226240504847,,24
20,0.7142090165191038,16396.167910384567,16050.21951065679,345.94839972777635,2.1544717724013154,160.57225913068785,224.82530382111582,,25
28,0.06239058299658159,7211.899242235127,7060.282526776603,151.61671545852397,1.296505334245164,116.94260829771014,1874.3631279117471,,26
15,0.052174004403863834,14825.142616062882,14690.62929853362,134.51331752926387,2.009862310263367,66.92663315410776,1282.7582225824208,,27
6,1.0158392989627325,17077.599773300997,16989.498530461264,88.10124283972957,2.1009863419915926,41.933277279763544,41.279439890326515,,28
27,0.06891235736394816,7286.876117154769,7307.74409990658,-20.867982751811713,2.284208928723806,-9.135759207223972,-132.57069641334587,,29
5,1.0264827019574316,14257.964783218857,14826.93604702629,-568.9712638074357,15.903675822752989,-35.77608536219173,-34.853081590141954,,30
23,0.3738118312316887,15049.004347850521,15116.245270488009,-67.24092263748484,0.9735847000213748,-69.06530334341592,-184.7595436341586,,31
31,0.09135878490076657,13993.829172202,14127.632392911159,-133.80322070915986,0.8328728473043951,-160.6526388058104,-1758.4804677548027,,32
-1,2990.6647187072767,13000.079809804003,16056.54312195905,-3056.463312155046,5.031659558856768,-607.4463656379602,-0.2031141644993661,,33
