timestep_id,time_s,mpa_pressure_mmhg
20,0.008,9.965790616846716
40,0.016,7.745475205505607
60,0.024,7.361756158792106
80,0.032,8.04398227917787
100,0.04,9.143910564756126
120,0.048,10.473243575302845
140,0.056,11.927826780571005
160,0.064,13.368393715802604
180,0.07200000000000001,14.686738000683533
200,0.08,15.91157503594225
220,0.08800000000000001,17.166570033955203
240,0.096,18.489238224275823
260,0.10400000000000001,19.81272518563604
280,0.112,21.09369876147936
300,0.12000000000000001,22.239717927782333
320,0.128,23.40060529878796
340,0.136,24.230580881619208
360,0.14400000000000002,24.352295525244617
380,0.152,24.659172242452108
400,0.16,24.692757140047323
420,0.168,23.78971299965375
440,0.17600000000000002,24.18651095753013
460,0.184,24.334815868209027
480,0.192,23.873492144013166
500,0.2,23.433657584130344
520,0.20800000000000002,22.576333076634008
540,0.216,21.985034286497797
560,0.224,21.458230990474163
580,0.232,20.4362448056081
600,0.24000000000000002,19.73084198097343
620,0.248,18.973460404791076
640,0.256,18.049684818432997
660,0.264,16.636668868689426
680,0.272,15.145181732909272
700,0.28,14.006646123504439
720,0.28800000000000003,13.284227218764208
740,0.29600000000000004,12.311933818758519
760,0.304,10.781958337120573
780,0.312,9.47485726103558
800,0.32,8.293994560485409
820,0.328,6.638045075872222
840,0.336,4.824190683143232
860,0.34400000000000003,2.628510011394003
880,0.35200000000000004,0.11707436523910719
900,0.36000000000000004,-2.050208392416583
920,0.368,-3.978958264608803
940,0.376,-5.5081986164034
960,0.384,-6.649944970441986
980,0.392,-7.701822963142256
1000,0.4,-8.246101896703756
1020,0.40800000000000003,-8.79716231809401
1040,0.41600000000000004,-9.949089362404308
1060,0.42400000000000004,-9.277668515596122
1080,0.432,-9.279395282691683
1100,0.44,-9.199809932009758
1120,0.448,-10.388261403841938
1140,0.456,-9.33878317543209
1160,0.464,-9.460388300716378
1180,0.47200000000000003,-8.182812954075857
1200,0.48000000000000004,-6.377139877591937
1220,0.48800000000000004,-5.535679910165534
1240,0.496,-4.945306063418995
1260,0.504,-4.953728194124871
1280,0.512,-4.415322147141132
1300,0.52,-3.4543684932073075
1320,0.528,-3.2289290592542126
1340,0.536,-2.5613256033025094
1360,0.544,-2.803083300828841
1380,0.552,-2.12856438772383
1400,0.56,-1.13170850120618
1420,0.5680000000000001,-0.961163250833526
1440,0.5760000000000001,-0.9700822873214885
1460,0.5840000000000001,-0.9085526206616715
1480,0.5920000000000001,0.2737066113691908
1500,0.6,0.9377432107756284
1520,0.608,1.7804250182971744
1540,0.616,2.050675913363421
1560,0.624,2.8206881773409065
1580,0.632,2.761312512063681
1600,0.64,2.750846396748605
1620,0.648,3.3122437000770413
1640,0.656,3.6279916767958156
1660,0.664,3.8964378260289174
1680,0.672,4.1789560695048324
1700,0.68,4.368359470947754
1720,0.6880000000000001,4.390519895594707
1740,0.6960000000000001,4.308438431281644
1760,0.7040000000000001,4.1988719057154675
1780,0.7120000000000001,4.148358898263732
1800,0.7200000000000001,4.187070441404318
1820,0.728,4.275220023561959
1840,0.736,4.370412734600553
1860,0.744,4.451147112482786
1880,0.752,4.51928827703118
1900,0.76,4.606847003711065
1920,0.768,4.75847308114378
1940,0.776,5.008312370440069
1960,0.784,5.357729966124187
1980,0.792,5.764764210127348
2000,0.8,6.16515426231789
2020,0.808,11.930886355603462
2040,0.8160000000000001,14.607352581123703
