stage,vessel,simulated_flow,simulated_split,clinical_split,delta_split
preop,lpa,5.285653499064,0.12309899647786546,0.13,-0.006901003522134547
preop,rpa,37.652580363910005,0.8769010035221346,0.87,0.00690100352213463
